Vds(Vtg=4),,Vds(Vtg=-1.25),,Vds(Vt=-1.75),,Vds(Vtg=-2.5),
X,Y,X,Y,X,Y,X,Y
-50.09139202640673,-803.1812564471818,-50.2194199460175,-436.1165412125979,-50.2194199460175,-222.82211736508998,-50.41728127632506,-7.144515597498412
-48.11140944076842,-776.2637377161855,-48.58609406249822,-421.4118263865482,-48.58609406249822,-218.25013419216316,-48.91586294634415,-3.341572108002765
-46.04105420599309,-735.2814290529154,-47.17390731285208,-413.29888027562447,-47.17390731285208,-211.65836547703748,-47.557436838266185,-6.094178824209052
-44.085718706483064,-704.6043515709846,-45.73068349178515,-398.5941654495748,-45.799811514495104,-213.1027157316339,-45.95725411315695,-7.245927423884837
-42.130383206973036,-677.8569823615333,-44.085718706483064,-381.9534066652368,-44.085718706483064,-202.3622813916038,-44.27776058589923,-7.493118750702024
-40.04612448771509,-644.478839888345,-42.44075392118097,-371.55101174649553,-42.371625898471024,-196.6463420861803,-42.73202489912997,-4.414197194783355
-38.0800453865594,-614.918267610381,-41.46696580535355,-363.1634086057745,-40.99753010011405,-183.77011322073668,-41.38907469342253,-5.701347298920496
-36.054876476352575,-579.6867125684112,-39.90735296645865,-349.15590008613253,-39.65447137317786,-184.33863406563114,-39.84915845754466,-6.1303973336328
-34.02970756614575,-551.110308633059,-38.20807330617017,-331.0285361195372,-37.952017466948625,-175.23461783320226,-38.17606632626748,-7.493118750702024
-32.07437206663573,-519.4643860240424,-36.60578449407168,-317.4647043403363,-36.12470988704936,-163.73359479527312,-36.56366275428631,-6.420145409023007
-29.9979919885846,-488.1408081488971,-35.16256067300474,-307.9996005442583,-34.434741348187124,-157.23401864958987,-35.20523664620834,-4.862749503801069
-28.024034246222094,-455.7996547885325,-33.6995859883064,-296.07602822971876,-33.052039816390746,-147.72665992585098,-33.741062801932365,-6.028985507246375
-26.068698746712066,-421.50401895599066,-32.07437206663573,-278.7899214592844,-31.624334531034215,-143.71244179805012,-32.05574982378325,-6.231809160019452
-23.973696425808456,-390.2507379150452,-30.42940728133364,-268.44898825350447,-29.97936974573213,-136.352401670905,-30.407681331339084,-6.637456465565606
-22.018360926298428,-364.3042916526233,-29.45561916550622,-259.152904168071,-28.13147026267869,-129.0337300044073,-28.943507487063115,-4.228925588884977
-19.934102207040482,-332.16941916638575,-27.896006326611314,-245.46230760588696,-26.501665893032147,-121.18211436917181,-27.595722660615138,-6.536044639178954
-17.96802310588479,-296.7674725005363,-26.0579551450664,-230.2505336479046,-25.106549532667444,-111.09163764371033,-25.947654168170963,-5.319102722540379
-16.001944004729097,-264.18449093878803,-24.648752729210727,-215.7993483878215,-23.7641961937181,-109.88737220537018,-24.299585675726796,-4.609219937834496
-13.917685285471158,-230.52711135623167,-23.45692918665224,-207.4328727109314,-22.018360926298428,-101.83780848593801,-22.79816734574588,-3.214807325019706
-11.962349785961123,-197.4760752111613,-21.890333006687648,-193.488746582781,-20.328392387436182,-93.8009212448037,-21.439741237667903,-3.81241273051171
-10.007014286451096,-166.63766073270608,-20.0630254267884,-175.21156969084177,-18.93017231992941,-82.69632625547683,-19.839558512558675,-5.319102722540379
-8.303079065449495,-142.02224469160774,-18.418060641486306,-163.31872823278286,-17.51798557028328,-79.31593204259195,-18.187499539503264,-4.681656956681877
-7.812249950266363,-134.63366876915916,-17.287147351591123,-156.85372430064035,-15.873020784981186,-72.46295104737965,-16.614329298531693,-3.829128965630389
-5.9566764660374645,-101.91847698419974,-15.82223284992898,-141.60737812911725,-14.045713205081938,-61.653372280267945,-15.271379092824255,-3.4780880281384725
